metric,contrast,mean_difference,wilcoxon_w,wilcoxon_p,paired_dz,wilcoxon_p_holm
factual_accuracy_mean,public_seed2026-base,-0.4375,15.0,0.008750058874824973,-0.601786116126803,0.026250176624474916
factual_accuracy_mean,public_seed2027-base,-0.3125,21.0,0.00949607211020891,-0.5702861074442296,0.026250176624474916
factual_accuracy_mean,public_seed2028-base,-0.3958333333333333,30.0,0.010487005735214893,-0.5482444403785813,0.026250176624474916
handling_appropriateness_mean,public_seed2026-base,-1.1458333333333333,9.0,0.00019479066185490017,-1.1161505947325203,0.0005843719855647006
handling_appropriateness_mean,public_seed2027-base,-1.25,9.0,0.00019945292073546788,-1.0597390598633232,0.0005843719855647006
handling_appropriateness_mean,public_seed2028-base,-1.125,8.0,0.00026822826348613625,-0.9670785717072949,0.0005843719855647006
requirement_fulfillment_mean,public_seed2026-base,-0.9375,4.0,0.0001443972451980564,-1.1362955885994888,0.0001675643768180531
requirement_fulfillment_mean,public_seed2027-base,-1.375,3.0,3.4597554060190286e-05,-1.243427163572966,0.00010379266218057086
requirement_fulfillment_mean,public_seed2028-base,-1.375,0.0,8.378218840902654e-05,-1.1819849209755828,0.0001675643768180531
safety_administrative_appropriateness_mean,public_seed2026-base,-0.5833333333333334,3.5,0.0018123552915306226,-0.7263757449464031,0.0018123552915306226
safety_administrative_appropriateness_mean,public_seed2027-base,-0.8541666666666666,0.0,0.00010481477884768157,-1.170909206042179,0.0003144443365430447
safety_administrative_appropriateness_mean,public_seed2028-base,-0.7916666666666666,0.0,0.0001594710194926727,-1.2345223859016157,0.0003189420389853454
composite_mean,public_seed2026-base,-0.7760416666666666,7.5,0.00011065309081650548,-1.1843899734628613,0.00020280936189252005
composite_mean,public_seed2027-base,-0.9479166666666666,4.5,7.396425964314822e-05,-1.2475477678595939,0.00020280936189252005
composite_mean,public_seed2028-base,-0.921875,1.0,6.760312063084002e-05,-1.1714340119342905,0.00020280936189252005
